epoch,train_loss,val_loss,best_val_loss,lr,improved,no_improve,delta_r_mean,delta_r_count,hard_delta_r_mean,hard_delta_r_count,sign_accuracy,sign_count,amplitude_ratio,active_fraction,pattern_score
86,4.569180155405775,4.485959040932357,4.485959040932357,7.5e-06,1,0,0.3068793620093101,862.0,0.3173774495345991,795.0,0.7875873372135281,25281892.0,0.5833704112715622,0.7207401912581617,0.447948269948662
87,3.7285973041143734,4.513225354487076,4.485959040932357,7.5e-06,0,1,0.30590308052239173,862.0,0.3168085510297766,795.0,0.7873103800933886,25281892.0,0.5621219766942088,0.7207401912581617,0.445468806435597
88,4.2006850495235994,4.528871977352537,4.485959040932357,7.5e-06,0,2,0.3070589802411586,862.0,0.3171932135925353,795.0,0.7887478911783976,25281892.0,0.5989598967912856,0.7207401912581617,0.44931476015956867
89,4.328392034978606,4.514531536726281,4.485959040932357,7.5e-06,0,3,0.30578898637190355,862.0,0.31607156329840985,795.0,0.7898808364500568,25281892.0,0.5552513659553572,0.7207401912581617,0.44463101278152406
90,4.022499658167362,4.529613353544846,4.485959040932357,7.5e-06,0,4,0.30398702348761797,862.0,0.3146764303012839,795.0,0.7877536222368168,25281892.0,0.5333920522245066,0.7207401912581617,0.4408022263705595
91,4.436143987637479,4.502597362385131,4.485959040932357,7.5e-06,0,5,0.30322195180711226,862.0,0.31407051589691415,795.0,0.7895354509069179,25281892.0,0.5766107210427038,0.7207401912581617,0.4444482110584169
92,4.503664273303002,4.507853496586904,4.485959040932357,7.5e-06,0,6,0.30554882487122254,862.0,0.3161132700038406,795.0,0.7870714343689151,25281892.0,0.6331184014090253,0.7207401912581617,0.4506726655631371
93,4.214141686738003,4.4854290906805545,4.4854290906805545,7.5e-06,1,0,0.3037498677992143,862.0,0.3144431294088469,795.0,0.7909493482528919,25281892.0,0.5551223476220726,0.7207401912581617,0.44320466189120067
94,4.244277193618473,4.506207904196344,4.4854290906805545,7.5e-06,0,1,0.30701058943542003,862.0,0.31701070579624024,795.0,0.7915907954990078,25281892.0,0.561902557890819,0.7207401912581617,0.44650752346318223
95,4.439362845674623,4.512909542536363,4.4854290906805545,7.5e-06,0,2,0.3047630708716516,862.0,0.315177261698171,795.0,0.7918293852374656,25281892.0,0.5361545817481392,0.7207401912581617,0.4423765007103427
96,4.271616620302666,4.490217712242156,4.4854290906805545,7.5e-06,0,3,0.3056482740801061,862.0,0.3166977368248334,795.0,0.7898872046443359,25281892.0,0.5785485170003709,0.7207401912581617,0.44731353430533816
97,4.262815776193747,4.51377755170688,4.4854290906805545,7.5e-06,0,4,0.30806117157804025,862.0,0.3181600312813648,795.0,0.7862672619596667,25281892.0,0.6119585163078839,0.7207401912581617,0.4508589445444039
98,4.446843891433673,4.532116228947416,4.4854290906805545,7.5e-06,0,5,0.3071622097488761,862.0,0.3166412216593634,795.0,0.7877121696429998,25281892.0,0.6320512312747486,0.7207401912581617,0.451244414289111
99,4.281222468678607,4.530740608694032,4.4854290906805545,7.5e-06,0,6,0.3069831038870592,862.0,0.3170741849139614,795.0,0.7884347421466716,25281892.0,0.6039786398272503,0.7207401912581617,0.4495503110334417
100,4.358381932252087,4.550428555114195,4.4854290906805545,7.5e-06,0,7,0.3043641094161574,862.0,0.3139792151233685,795.0,0.7901867866534672,25281892.0,0.5567297109180149,0.7207401912581617,0.4427328016787637
101,4.187735423271079,4.486944726551883,4.4854290906805545,3.75e-06,0,8,0.31017807500951183,862.0,0.31951894525602553,795.0,0.7892286305154693,25281892.0,0.6111818034106783,0.7207401912581617,0.4527466306851379
102,4.158299753558822,4.488862942438573,4.4854290906805545,3.75e-06,0,9,0.30818940763925734,862.0,0.3179823527546049,795.0,0.7919171555673128,25281892.0,0.5867506986151162,0.7207401912581617,0.44970802118808656
103,4.437560507649323,4.5005868539446965,4.4854290906805545,3.75e-06,0,10,0.30924060388431474,862.0,0.31899067050068636,795.0,0.7906439913595075,25281892.0,0.600814511493851,0.7207401912581617,0.4516460175123056
104,4.2146863783709705,4.4807623020606115,4.4807623020606115,3.75e-06,1,0,0.30870090023098024,862.0,0.31895999557004784,795.0,0.7913761754856006,25281892.0,0.5746987925328124,0.7207401912581617,0.4495397699416791
105,4.047528227500152,4.460635147290304,4.460635147290304,3.75e-06,1,0,0.30818373885809547,862.0,0.3183856761071292,795.0,0.7920863675867297,25281892.0,0.5758623511221459,0.7207401912581617,0.4492086185949103
106,4.276479815598577,4.47063403215725,4.460635147290304,3.75e-06,0,1,0.30883360089703943,862.0,0.3187697904383611,795.0,0.7906895971235064,25281892.0,0.5898126626512568,0.7207401912581617,0.45051019419141797
107,3.907427751517389,4.489799078903161,4.460635147290304,3.75e-06,0,2,0.30750138964720086,862.0,0.31744703892735565,795.0,0.7898171149532638,25281892.0,0.5808867746467103,0.7207401912581617,0.44825049085561
108,3.8873968501284253,4.4554018140770495,4.4554018140770495,3.75e-06,1,0,0.3094447925643619,862.0,0.31934330935279526,795.0,0.7921680861543116,25281892.0,0.5707487872609406,0.7207401912581617,0.4497366206641044
109,4.412738991115475,4.455287597840652,4.455287597840652,3.75e-06,1,0,0.3070079094261415,862.0,0.31695351062705684,795.0,0.7918250342972749,25281892.0,0.5883284491895246,0.7207401912581617,0.44879502248760317
110,4.635631731012836,4.460758185130544,4.455287597840652,3.75e-06,0,1,0.30774608961027766,862.0,0.3178846096420813,795.0,0.7896855583434974,25281892.0,0.596731550109912,0.7207401912581617,0.4500073247344513
