dataset_index,sample_key,job,month,time_index,z0,local_z,global_z,height_m,y0,x0,valid_fraction_3d,valid_fraction_slice,score,u_R,u_MAE,u_RMSE,v_R,v_MAE,v_RMSE,w_R,w_MAE,w_RMSE,theta_prime_R,theta_prime_MAE,theta_prime_RMSE,theta_R,theta_MAE,theta_RMSE
953,camden/z26_camden201909/t0036/z000_y0512_x0256,z26_camden201909,9,36,0,15,15,150.0,512,256,0.33730220794677734,0.9903411865234375,0.06500314118002547,-0.23379850786117753,2.1660291338977857,2.3092340116859393,0.3850374271094198,0.9143802477887581,1.1086791853885878,0.19766547574334326,0.20543806717570834,0.2932253946047148,0.008744982623894063,0.26082461418680214,0.28604752698702796,-0.03121832085457714,0.2733194146569869,0.29720582666642065
151,camden/z19_camden201902/t0035/z000_y0256_x0544,z19_camden201902,2,35,0,3,3,30.0,256,544,0.6446313858032227,0.0031890869140625,-0.5836611540572232,0.4352974364940956,1.1563015463249535,1.2654050472207812,-0.041999274684959786,1.4447557737952785,1.6099896074669686,0.016953185623561982,0.22204593060154948,0.2812991042872094,0.3113473201136051,0.2379997540889174,0.25647648806119555,0.05818430287689026,0.2434413490112889,0.26861573190466437
151,camden/z19_camden201902/t0035/z000_y0256_x0544,z19_camden201902,2,35,0,5,5,50.0,256,544,0.6446313858032227,0.4445648193359375,0.10902316318768633,-0.026357230574771438,0.7196983427581604,0.9104035796214532,0.19439570235090148,1.018574815641776,1.2448253644540341,0.15014648140206951,0.24267218928194842,0.3261984018217445,0.17080949598374937,0.12953248743293255,0.1635843927447959,0.11549025925477498,0.21558925562541564,0.25412942976872954
151,camden/z19_camden201902/t0035/z000_y0256_x0544,z19_camden201902,2,35,0,7,7,70.0,256,544,0.6446313858032227,0.9397430419921875,0.09404074348163834,0.02317468500759278,1.057232414127424,1.2759892850345962,0.18563037593038811,1.142522765990191,1.3759640027838527,0.13116648265703598,0.31377903848111577,0.41557009213623697,0.057602592081972964,0.164286268249645,0.203206056576062,0.05785420412652785,0.1864623711260024,0.2310397481770068
151,camden/z19_camden201902/t0035/z000_y0256_x0544,z19_camden201902,2,35,0,10,10,100.0,256,544,0.6446313858032227,0.9998931884765625,0.02797372421166493,-0.028082135474345078,1.4030394548007534,1.581554066812298,0.07293203949303206,1.274394475174317,1.487959754193741,0.06986198447320355,0.4321083223965415,0.5490790763742299,0.035132634325857254,0.12604835665983308,0.15500808463214696,0.027310865095447025,0.192654686682584,0.23730294899432458
151,camden/z19_camden201902/t0035/z000_y0256_x0544,z19_camden201902,2,35,0,12,12,120.0,256,544,0.6446313858032227,1.0,0.009663740696175663,-0.06928170539453873,1.447400105837005,1.6309607815732878,0.06845692982590883,1.1492800976084254,1.343277483909555,0.042008161616395506,0.4564404864139142,0.5780310049812596,0.03140801625750542,0.16217206297551456,0.18785825874004689,0.007892409617870431,0.14052127115428448,0.18494710986448692
151,camden/z19_camden201902/t0035/z000_y0256_x0544,z19_camden201902,2,35,0,15,15,150.0,256,544,0.6446313858032227,1.0,0.009775045418398357,-0.017411960495586867,1.271072949801237,1.5080096865140409,0.03370125517847416,1.0470659428283398,1.2544294990667957,0.034757584225223646,0.4517749234918931,0.570669325416042,0.009343652272506492,0.27054180363120395,0.28952660763107657,0.015090999436413078,0.24342674389481544,0.27677506038161065
574,camden/z23_camden201906/t0033/z000_y0544_x0512,z23_camden201906,6,33,0,3,3,30.0,544,512,0.5702686309814453,0.0,-999.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
574,camden/z23_camden201906/t0033/z000_y0544_x0512,z23_camden201906,6,33,0,5,5,50.0,544,512,0.5702686309814453,0.219024658203125,0.31917579732732315,0.407785070024502,1.2665640236907174,1.5736141598546305,0.37095239441162814,1.458389259711836,1.7804193746551997,0.25474884854448804,0.32670847014145454,0.4430242117065409,0.13552096938981295,0.5342216164401037,0.6240862021753869,0.13058021130609196,0.5355760314694782,0.6280589788729359
574,camden/z23_camden201906/t0033/z000_y0544_x0512,z23_camden201906,6,33,0,7,7,70.0,544,512,0.5702686309814453,0.714599609375,0.3155063328871837,0.38122431216046415,1.7784849168433035,2.1789586228039037,0.3338922275534498,1.596949345067902,1.9393957781189841,0.19881121709974126,0.49627507443291896,0.6522817653666992,0.22109993252930712,0.3441651411759271,0.42438014547738584,0.2156625954871387,0.3316255236470255,0.4122204484270544
574,camden/z23_camden201906/t0033/z000_y0544_x0512,z23_camden201906,6,33,0,10,10,100.0,544,512,0.5702686309814453,0.9568023681640625,0.3292883393627502,0.4515568614611551,1.814472277572628,2.19556703732523,0.2493764954025132,1.6275822809196698,2.0026700318837123,0.15256410275369717,0.72435870844129,0.9263293848917685,0.3053338372911259,0.28788684541819226,0.36857940079360263,0.29773333744143765,0.28592484570530535,0.3611600143087222
574,camden/z23_camden201906/t0033/z000_y0544_x0512,z23_camden201906,6,33,0,12,12,120.0,544,512,0.5702686309814453,0.99554443359375,0.2200982068147023,0.3684325010933865,1.7609014925830435,2.117806054680911,0.07677384488322944,1.6186387142349552,1.9833599661595915,0.12030861638924466,0.7952013726839599,1.00826991678069,0.23304221961369795,0.24987988732789443,0.32818365429499474,0.22762339881394641,0.24931224266147198,0.32239592567904396
574,camden/z23_camden201906/t0033/z000_y0544_x0512,z23_camden201906,6,33,0,15,15,150.0,544,512,0.5702686309814453,1.0,0.025525040311494572,0.10818057965074186,1.7781517932307906,2.1026060262346,-0.08760233478392929,1.3393432020093314,1.6540693510723135,0.057456329173353,0.8413236807501825,1.0686157471997886,0.061799352597770085,0.20283389634096238,0.2708771108081727,0.05870797414921898,0.21321810828521848,0.271749891913142
878,camden/z25_camden201908/t0038/z000_y0544_x0512,z25_camden201908,8,38,0,3,3,30.0,544,512,0.5702686309814453,0.0,-999.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
878,camden/z25_camden201908/t0038/z000_y0544_x0512,z25_camden201908,8,38,0,5,5,50.0,544,512,0.5702686309814453,0.219024658203125,0.2037365746222648,0.32026083578099934,0.9112332221258147,1.11831084490192,0.20618620617163438,2.3863096129052135,2.6166562460984033,0.22586789102041196,0.1761953557954505,0.23779641593758863,0.03274686155128967,0.29025643831410913,0.3212445369390504,0.001314616424752342,0.3957508326872355,0.43073128798922433
878,camden/z25_camden201908/t0038/z000_y0544_x0512,z25_camden201908,8,38,0,7,7,70.0,544,512,0.5702686309814453,0.714599609375,0.13550060573593664,0.2532463349610826,1.1762919971228745,1.39209227031649,0.12474539913064714,2.4214623693006416,2.732102984461668,0.18736047506797462,0.30450798680788554,0.4069116452145034,-0.024658099798269988,0.2076941943963844,0.22201099167997376,-0.09587821619735522,0.20318447382815835,0.222526464691342
878,camden/z25_camden201908/t0038/z000_y0544_x0512,z25_camden201908,8,38,0,10,10,100.0,544,512,0.5702686309814453,0.9568023681640625,0.19286844490275318,0.21252005096637713,1.3196626975541859,1.5650048411134394,0.17994576645424273,2.554934858034391,2.9708714049301457,0.15045405256690936,0.4781820162419031,0.6264060504316081,0.19193082470876305,0.14480661036874887,0.15879372696318397,0.14346550853149106,0.2368602161667543,0.2608716090387135
