Task2_V3 target=background-normalized enhancement
Profile cache=/data/cd25/task2_V1/3D_UNet_pft/processed/richmond_average_profile_cache_m02_10_z001_010
Train samples=2242 val samples=278 depth=16
Feature channels: local=30, global=16
Global context enabled=True
Previous timestep CO2 is excluded completely. Target/reconstruction use current incoming background CO2.
Using device=cuda
Enhancement mean per z=[8.688699722290039, 8.134200096130371, 7.724999904632568, 7.071800231933594, 6.390399932861328, 5.827099800109863, 5.3709001541137695, 4.990799903869629, 4.65339994430542, 4.347899913787842, 4.063499927520752, 3.797800064086914, 3.55430006980896, 3.3252999782562256, 3.113800048828125, 2.918600082397461]
Enhancement std per z=[8.835000038146973, 8.336600303649902, 8.104700088500977, 7.736299991607666, 7.3643999099731445, 7.0279998779296875, 6.707499980926514, 6.4105000495910645, 6.115099906921387, 5.817999839782715, 5.52869987487793, 5.247799873352051, 4.9944000244140625, 4.770599842071533, 4.57859992980957, 4.4166998863220215]
Valid fraction per z=[0.6017000079154968, 0.8478999733924866, 0.9879999756813049, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
Layer weights=[1.9666999578475952, 1.565500020980835, 1.3272000551223755, 1.1837999820709229, 1.0751999616622925, 0.9905999898910522, 0.9247999787330627, 0.8734999895095825, 0.8335000276565552, 0.8023999929428101, 0.7781999707221985, 0.7592999935150146, 0.7445999979972839, 0.7332000136375427, 0.7242000102996826, 0.7172999978065491]
Initialized model weights from checkpoint: /data/cd25/task2_V3/3D_UNet_pft/processed/background_enhancement_v3/best_model.pt
Fresh optimizer/scheduler and epoch counter are used for this transfer run.
epoch=058 train_loss=0.025435 val_conc_R=0.979987 val_conc_MAE=1.194871 val_conc_RMSE=1.911256 val_enhancement_RMSE=1.911256 best=1.911256 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=059 train_loss=0.025162 val_conc_R=0.980069 val_conc_MAE=1.190278 val_conc_RMSE=1.903661 val_enhancement_RMSE=1.903661 best=1.903661 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=060 train_loss=0.024752 val_conc_R=0.980167 val_conc_MAE=1.182940 val_conc_RMSE=1.897734 val_enhancement_RMSE=1.897734 best=1.897734 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=061 train_loss=0.024663 val_conc_R=0.980184 val_conc_MAE=1.183137 val_conc_RMSE=1.898668 val_enhancement_RMSE=1.898668 best=1.897734 lr=0.0001 improved=0 no_improve=1 elapsed=0.1s
epoch=062 train_loss=0.024212 val_conc_R=0.980248 val_conc_MAE=1.186450 val_conc_RMSE=1.897144 val_enhancement_RMSE=1.897144 best=1.897144 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=063 train_loss=0.023909 val_conc_R=0.980465 val_conc_MAE=1.178518 val_conc_RMSE=1.885359 val_enhancement_RMSE=1.885359 best=1.885359 lr=0.0001 improved=1 no_improve=0 elapsed=0.2s
epoch=064 train_loss=0.023566 val_conc_R=0.980399 val_conc_MAE=1.173999 val_conc_RMSE=1.886312 val_enhancement_RMSE=1.886312 best=1.885359 lr=0.0001 improved=0 no_improve=1 elapsed=0.1s
epoch=065 train_loss=0.023135 val_conc_R=0.980671 val_conc_MAE=1.170979 val_conc_RMSE=1.875567 val_enhancement_RMSE=1.875567 best=1.875567 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=066 train_loss=0.023183 val_conc_R=0.980763 val_conc_MAE=1.173869 val_conc_RMSE=1.888737 val_enhancement_RMSE=1.888738 best=1.875567 lr=0.0001 improved=0 no_improve=1 elapsed=0.1s
epoch=067 train_loss=0.023268 val_conc_R=0.980477 val_conc_MAE=1.170289 val_conc_RMSE=1.882328 val_enhancement_RMSE=1.882328 best=1.875567 lr=0.0001 improved=0 no_improve=2 elapsed=0.1s
